season,team,conf,division,games,wins,true_wins,losses,ties,pf,pa,pd,win_pct,div_pct,conf_pct,MOV,SOS,SRS,OSRS,DSRS,sov,sos,div_rank,div_tie_broken_by,conf_rank,conf_tie_broken_by
2008,PHI,NFC,NFC East,16,9.5,9,6,1,416,289,127,0.59375,0.3333333333333333,0.5833333333333334,7.9375,-0.10665118004493795,7.8308488199550625,4.6692546188708235,3.161594201084239,0.4861111111111111,0.513671875,2,NA,6,NA
2008,PIT,AFC,AFC North,16,12,12,4,0,347,223,124,0.75,1,0.8333333333333334,7.75,2.047488817540419,9.797488817540419,1.5560771624727332,8.241411655067687,0.4583333333333333,0.525390625,1,NA,2,NA
2008,SEA,NFC,NFC West,16,4,4,12,0,294,392,-98,0.25,0.5,0.25,-6.125,-1.5099376426055402,-7.63493764260554,-4.858655690264486,-2.776281952341054,0.3125,0.498046875,3,NA,14,NA
2008,SF,NFC,NFC West,16,7,7,9,0,339,381,-42,0.4375,0.5,0.4166666666666667,-2.625,-2.6891043093238665,-5.3141043093238665,-2.9445187854844526,-2.369585523839414,0.2857142857142857,0.447265625,2,NA,12,NA
2008,TB,NFC,NFC South,16,9,9,7,0,361,323,38,0.5625,0.5,0.6666666666666666,2.375,-0.10584732722215899,2.269152672777841,-0.5898680603614415,2.8590207331392827,0.4305555555555556,0.48046875,3,NA,7,Conference Win PCT (3)
2008,TEN,AFC,AFC South,16,13,13,3,0,375,234,141,0.8125,0.6666666666666666,0.75,8.8125,0.13026322739311819,8.942763227393119,1.4896525466260342,7.453110680767084,0.4254807692307692,0.458984375,1,NA,1,NA
2008,WAS,NFC,NFC East,16,8,8,8,0,265,296,-31,0.5,0.5,0.5833333333333334,-1.9375,0.1582793754555026,-1.7792206245444975,-5.844485460473155,4.065264835928658,0.4140625,0.478515625,4,NA,10,Head-To-Head Sweep (2)
2009,ARI,NFC,NFC West,16,10,10,6,0,375,325,50,0.625,0.6666666666666666,0.6666666666666666,3.125,-3.4043997245508173,-0.27939972455081724,0.14120561011637411,-0.42060533466719136,0.35625,0.4453125,1,NA,4,NA
2009,ATL,NFC,NFC South,16,9,9,7,0,363,325,38,0.5625,0.5,0.5,2.375,2.655810299022169,5.030810299022169,2.7036031796130557,2.327207119409113,0.3819444444444444,0.50390625,2,NA,7,NA
2009,BAL,AFC,AFC North,16,9,9,7,0,391,261,130,0.5625,0.5,0.5833333333333334,8.125,-0.6491851287624897,7.47581487123751,2.5678131994593927,4.908001671778118,0.4027777777777778,0.5234375,2,Division Win PCT (2),6,Conference Win PCT (2)
2009,BUF,AFC,AFC East,16,6,6,10,0,258,326,-68,0.375,0.3333333333333333,0.3333333333333333,-4.25,2.425913385368921,-1.8240866146310788,-4.530677599002401,2.7065909843713225,0.46875,0.515625,4,NA,13,NA
2009,CAR,NFC,NFC South,16,8,8,8,0,315,308,7,0.5,0.6666666666666666,0.6666666666666666,0.4375,3.4665741876527623,3.9040741876527623,-0.6220416616822492,4.526115849335011,0.484375,0.5390625,3,NA,8,Conference Win PCT (3)
2009,CHI,NFC,NFC North,16,7,7,9,0,327,375,-48,0.4375,0.5,0.4166666666666667,-3,-0.8870528947254206,-3.8870528947254206,-1.8810100177733986,-2.006042876952022,0.32142857142857145,0.49609375,3,NA,11,NA
2009,CIN,AFC,AFC North,16,10,10,6,0,305,291,14,0.625,1,0.5833333333333334,0.875,-0.21029624003076064,0.6647037599692394,-2.547563784746172,3.212267544715411,0.4375,0.4921875,1,NA,4,NA
2009,CLE,AFC,AFC North,16,5,5,11,0,245,375,-130,0.3125,0.16666666666666666,0.4166666666666667,-8.125,-0.2578656843056778,-8.382865684305678,-6.019637197491393,-2.3632284868142843,0.3875,0.51171875,4,NA,14,Head-To-Head Sweep (2)
2009,DAL,NFC,NFC East,16,11,11,5,0,361,250,111,0.6875,0.6666666666666666,0.75,6.9375,0.21100480135775918,7.14850480135776,0.4269415277801738,6.721563273577586,0.4375,0.48828125,1,Head-To-Head Win PCT (2),3,NA
2009,DEN,AFC,AFC West,16,8,8,8,0,326,324,2,0.5,0.5,0.5,0.125,0.19567716522243722,0.32067716522243706,-1.0203443591624346,1.3410215243848715,0.515625,0.52734375,2,NA,9,Conference Win PCT (2)
2009,DET,NFC,NFC North,16,2,2,14,0,262,494,-232,0.125,0,0.08333333333333333,-14.5,0.12232210493770412,-14.377677895062297,-5.175057637022804,-9.202620258039492,0.28125,0.5234375,4,NA,15,NA
2009,GB,NFC,NFC North,16,11,11,5,0,461,297,164,0.6875,0.6666666666666666,0.75,10.25,-2.8877473390039685,7.362252660996031,6.304654664658844,1.0575979963371873,0.3806818181818182,0.44140625,2,NA,5,Common Games Win PCT (2)
2009,HOU,AFC,AFC South,16,9,9,7,0,388,333,55,0.5625,0.16666666666666666,0.5,3.4375,-1.4727679026953617,1.964732097304638,2.6567541735918314,-0.6920220762871934,0.4166666666666667,0.50390625,2,NA,7,Common Games Win PCT (2)
2009,IND,AFC,AFC South,16,14,14,2,0,416,307,109,0.875,1,0.8333333333333334,6.8125,-0.8811012361858555,5.931398763814144,4.421337506846585,1.5100612569675587,0.4732142857142857,0.47265625,1,NA,1,NA
2009,JAX,AFC,AFC South,16,7,7,9,0,290,380,-90,0.4375,0.5,0.5,-5.625,-0.8661706806426688,-6.491170680642669,-3.8438906676311997,-2.647280013011469,0.4107142857142857,0.49609375,4,NA,12,NA
2009,KC,AFC,AFC West,16,4,4,12,0,294,424,-130,0.25,0.3333333333333333,0.25,-8.125,-0.3018922792096366,-8.426892279209637,-2.4808106291290937,-5.946081650080544,0.40625,0.515625,4,NA,16,NA
2009,LA,NFC,NFC West,16,1,1,15,0,175,436,-261,0.0625,0,0.08333333333333333,-16.3125,-1.1224552807015455,-17.434955280701544,-11.660530501221988,-5.774424779479556,0.125,0.51953125,4,NA,16,NA
