game_id,season,week,team,opponent,turnover_diff,turnover_won,turnover_lost,interception_won,interception_lost,fumble_won,fumble_lost
2006_09_GB_BUF,2006,9,GB,BUF,-4,0,4,0,2,0,2
2006_09_MIA_CHI,2006,9,CHI,MIA,-3,2,5,1,3,1,2
2006_09_MIA_CHI,2006,9,MIA,CHI,-3,0,3,0,2,0,1
2006_09_ATL_DET,2006,9,DET,ATL,-1,0,1,0,1,0,0
2006_09_ATL_DET,2006,9,ATL,DET,-3,0,3,0,2,0,1
2006_09_TEN_JAX,2006,9,JAX,TEN,1,1,0,1,0,0,0
2006_09_TEN_JAX,2006,9,TEN,JAX,-1,2,3,1,3,1,0
2006_09_HOU_NYG,2006,9,NYG,HOU,0,1,1,1,1,0,0
2006_09_HOU_NYG,2006,9,HOU,NYG,0,1,1,1,0,0,1
2006_09_KC_STL,2006,9,LA,KC,-1,1,2,1,0,0,2
2006_09_KC_STL,2006,9,KC,LA,-1,0,1,0,0,0,1
2006_09_NO_TB,2006,9,TB,NO,-1,0,1,0,0,0,1
2006_09_NO_TB,2006,9,NO,TB,1,1,0,1,0,0,0
2006_09_DAL_WAS,2006,9,WAS,DAL,-1,0,1,0,0,0,1
2006_09_DAL_WAS,2006,9,DAL,WAS,0,0,0,0,0,0,0
2006_09_MIN_SF,2006,9,SF,MIN,0,1,1,1,1,0,0
2006_09_MIN_SF,2006,9,MIN,SF,-1,2,3,2,1,0,2
2006_09_DEN_PIT,2006,9,PIT,DEN,-5,1,6,1,3,0,3
2006_09_DEN_PIT,2006,9,DEN,PIT,1,1,0,1,0,0,0
2006_09_CLE_SD,2006,9,LAC,CLE,2,3,1,2,0,1,1
2006_09_CLE_SD,2006,9,CLE,LAC,-1,1,2,0,1,1,1
2006_09_IND_NE,2006,9,NE,IND,-4,1,5,0,4,1,1
2006_09_IND_NE,2006,9,IND,NE,-1,1,2,1,1,0,1
2006_09_OAK_SEA,2006,9,SEA,LV,0,0,0,0,0,0,0
2006_09_OAK_SEA,2006,9,LV,SEA,1,1,0,0,0,1,0
2006_10_CLE_ATL,2006,10,ATL,CLE,-2,1,3,1,2,0,1
2006_10_CLE_ATL,2006,10,CLE,ATL,1,3,2,1,0,2,2
2006_10_SD_CIN,2006,10,CIN,LAC,0,1,1,1,0,0,1
2006_10_SD_CIN,2006,10,LAC,CIN,0,0,0,0,0,0,0
2006_10_SF_DET,2006,10,DET,SF,-1,3,4,2,1,1,3
2006_10_SF_DET,2006,10,SF,DET,2,3,1,3,0,0,1
2006_10_BUF_IND,2006,10,IND,BUF,-2,0,2,0,0,0,2
2006_10_BUF_IND,2006,10,BUF,IND,2,2,0,1,0,1,0
2006_10_HOU_JAX,2006,10,JAX,HOU,-1,3,4,1,4,2,0
2006_10_HOU_JAX,2006,10,HOU,JAX,0,0,0,0,0,0,0
2006_10_KC_MIA,2006,10,MIA,KC,4,5,1,1,0,4,1
2006_10_KC_MIA,2006,10,KC,MIA,2,2,0,1,0,1,0
2006_10_GB_MIN,2006,10,MIN,GB,-2,0,2,0,1,0,1
2006_10_GB_MIN,2006,10,GB,MIN,1,1,0,0,0,1,0
2006_10_NYJ_NE,2006,10,NE,NYJ,1,3,2,2,1,1,1
2006_10_NYJ_NE,2006,10,NYJ,NE,0,1,1,0,1,1,0
2006_10_WAS_PHI,2006,10,PHI,WAS,0,0,0,0,0,0,0
2006_10_WAS_PHI,2006,10,WAS,PHI,-1,0,1,0,1,0,0
2006_10_BAL_TEN,2006,10,TEN,BAL,-1,0,1,0,1,0,0
2006_10_BAL_TEN,2006,10,BAL,TEN,-1,1,2,1,2,0,0
2006_10_DEN_OAK,2006,10,LV,DEN,-2,0,2,0,0,0,2
2006_10_DEN_OAK,2006,10,DEN,LV,-3,0,3,0,3,0,0
2006_10_DAL_ARI,2006,10,ARI,DAL,-2,1,3,1,2,0,1
2006_10_DAL_ARI,2006,10,DAL,ARI,0,0,0,0,0,0,0
2006_10_NO_PIT,2006,10,PIT,NO,1,1,0,0,0,1,0
2006_10_NO_PIT,2006,10,NO,PIT,-3,0,3,0,0,0,3
2006_10_STL_SEA,2006,10,SEA,LA,0,2,2,1,0,1,2
2006_10_STL_SEA,2006,10,LA,SEA,1,2,1,1,1,1,0
2006_10_CHI_NYG,2006,10,NYG,CHI,-2,1,3,0,2,1,1
2006_10_CHI_NYG,2006,10,CHI,NYG,-3,0,3,0,1,0,2
2006_10_TB_CAR,2006,10,CAR,TB,3,5,2,5,1,0,1
2006_10_TB_CAR,2006,10,TB,CAR,-2,2,4,2,2,0,2
2006_11_ATL_BAL,2006,11,BAL,ATL,0,1,1,0,0,1,1
2006_11_ATL_BAL,2006,11,ATL,BAL,0,0,0,0,0,0,0
2006_11_STL_CAR,2006,11,CAR,LA,-2,1,3,0,2,1,1
2006_11_STL_CAR,2006,11,LA,CAR,-1,1,2,0,1,1,1
2006_11_PIT_CLE,2006,11,CLE,PIT,1,3,2,3,0,0,2
2006_11_PIT_CLE,2006,11,PIT,CLE,-3,0,3,0,3,0,0
2006_11_NE_GB,2006,11,GB,NE,0,1,1,0,0,1,1
2006_11_NE_GB,2006,11,NE,GB,0,1,1,1,0,0,1
2006_11_BUF_HOU,2006,11,HOU,BUF,2,4,2,3,1,1,1
2006_11_BUF_HOU,2006,11,BUF,HOU,1,2,1,2,1,0,0
2006_11_OAK_KC,2006,11,KC,LV,3,3,0,3,0,0,0
2006_11_OAK_KC,2006,11,LV,KC,0,1,1,1,1,0,0
2006_11_MIN_MIA,2006,11,MIA,MIN,1,3,2,2,1,1,1
2006_11_MIN_MIA,2006,11,MIN,MIA,-2,1,3,1,1,0,2
2006_11_CIN_NO,2006,11,NO,CIN,-3,1,4,0,3,1,1
2006_11_CIN_NO,2006,11,CIN,NO,-1,0,1,0,1,0,0
2006_11_CHI_NYJ,2006,11,NYJ,CHI,-2,0,2,0,2,0,0
2006_11_CHI_NYJ,2006,11,CHI,NYJ,1,1,0,1,0,0,0
2006_11_TEN_PHI,2006,11,PHI,TEN,-2,1,3,1,1,0,2
2006_11_TEN_PHI,2006,11,TEN,PHI,-1,0,1,0,0,0,1
2006_11_WAS_TB,2006,11,TB,WAS,-2,0,2,0,1,0,1
2006_11_WAS_TB,2006,11,WAS,TB,0,1,1,1,0,0,1
2006_11_DET_ARI,2006,11,ARI,DET,1,1,0,0,0,1,0
2006_11_DET_ARI,2006,11,DET,ARI,-1,0,1,0,1,0,0
2006_11_SEA_SF,2006,11,SF,SEA,2,3,1,2,0,1,1
2006_11_SEA_SF,2006,11,SEA,SF,-3,2,5,1,3,1,2
2006_11_IND_DAL,2006,11,DAL,IND,-1,1,2,1,1,0,1
2006_11_IND_DAL,2006,11,IND,DAL,-4,0,4,0,2,0,2
2006_11_SD_DEN,2006,11,DEN,LAC,1,2,1,0,1,2,0
2006_11_SD_DEN,2006,11,LAC,DEN,0,2,2,2,2,0,0
2006_11_NYG_JAX,2006,11,JAX,NYG,1,2,1,0,0,2,1
2006_11_NYG_JAX,2006,11,NYG,JAX,-2,1,3,1,2,0,1
2006_12_MIA_DET,2006,12,DET,MIA,-1,1,2,0,1,1,1
2006_12_MIA_DET,2006,12,MIA,DET,-1,1,2,1,1,0,1
2006_12_TB_DAL,2006,12,DAL,TB,0,0,0,0,0,0,0
2006_12_TB_DAL,2006,12,TB,DAL,-1,1,2,0,2,1,0
2006_12_DEN_KC,2006,12,KC,DEN,-1,0,1,0,1,0,0
2006_12_DEN_KC,2006,12,DEN,KC,-1,0,1,0,1,0,0
2006_12_NO_ATL,2006,12,ATL,NO,1,1,0,0,0,1,0
2006_12_NO_ATL,2006,12,NO,ATL,2,2,0,1,0,1,0
2006_12_PIT_BAL,2006,12,BAL,PIT,2,2,0,0,0,2,0
2006_12_PIT_BAL,2006,12,PIT,BAL,-1,2,3,2,2,0,1
2006_12_JAX_BUF,2006,12,BUF,JAX,-2,0,2,0,1,0,1
2006_12_JAX_BUF,2006,12,JAX,BUF,1,1,0,1,0,0,0
2006_12_CIN_CLE,2006,12,CLE,CIN,-5,0,5,0,4,0,1
2006_12_CIN_CLE,2006,12,CIN,CLE,1,2,1,1,1,1,0
2006_12_ARI_MIN,2006,12,MIN,ARI,-1,1,2,0,0,1,2
2006_12_ARI_MIN,2006,12,ARI,MIN,-4,0,4,0,2,0,2
2006_12_HOU_NYJ,2006,12,NYJ,HOU,0,0,0,0,0,0,0
2006_12_HOU_NYJ,2006,12,HOU,NYJ,-1,0,1,0,1,0,0
2006_12_SF_STL,2006,12,LA,SF,0,2,2,1,1,1,1
2006_12_SF_STL,2006,12,SF,LA,-1,1,2,1,2,0,0
2006_12_CAR_WAS,2006,12,WAS,CAR,-1,0,1,0,1,0,0
2006_12_CAR_WAS,2006,12,CAR,WAS,0,2,2,0,2,2,0
2006_12_OAK_SD,2006,12,LAC,LV,1,2,1,2,1,0,0
2006_12_OAK_SD,2006,12,LV,LAC,-2,0,2,0,2,0,0
2006_12_CHI_NE,2006,12,NE,CHI,-1,4,5,2,2,2,3
2006_12_CHI_NE,2006,12,CHI,NE,-4,0,4,0,3,0,1
2006_12_NYG_TEN,2006,12,TEN,NYG,0,2,2,1,0,1,2
2006_12_NYG_TEN,2006,12,NYG,TEN,-1,1,2,1,2,0,0
