game_id,season,week,team,passing_tds,rushing_tds,td_special,def_tds,fumble_recovery_tds,passing_2pt_conversions,rushing_2pt_conversions,pat_att,pat_made,fg_att,fg_made,safeties_def,td_off,td_def,td_total,two_pt_att,two_pt_made,two_pt_def,points8,points7,points6,points3,points2,points_total
2006_06_CHI_ARI,2006,6,ARI,2,0,0,0,0,0,0,2,2,5,3,0,2,0,2,0,0,0,0,2,0,3,0,23
2006_06_CHI_ARI,2006,6,CHI,0,0,1,0,2,0,0,3,3,1,1,0,0,2,3,0,0,0,0,3,0,1,0,24
2006_07_PIT_ATL,2006,7,ATL,4,1,0,0,0,0,0,5,5,3,2,0,5,0,5,0,0,0,0,5,0,2,0,41
2006_07_PIT_ATL,2006,7,PIT,5,0,0,0,0,0,0,5,5,1,1,0,5,0,5,0,0,0,0,5,0,1,0,38
2006_07_NE_BUF,2006,7,BUF,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,6
2006_07_NE_BUF,2006,7,NE,2,2,0,0,0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,4,0,0,0,28
2006_07_CAR_CIN,2006,7,CIN,2,0,0,0,0,0,0,2,2,1,1,0,2,0,2,0,0,0,0,2,0,1,0,17
2006_07_CAR_CIN,2006,7,CAR,2,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,14
2006_07_JAX_HOU,2006,7,HOU,2,1,0,0,0,0,0,3,3,3,2,0,3,0,3,0,0,0,0,3,0,2,0,27
2006_07_JAX_HOU,2006,7,JAX,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7
2006_07_SD_KC,2006,7,KC,2,2,0,0,0,0,0,4,3,2,1,0,4,0,4,0,0,0,0,3,1,1,0,30
2006_07_SD_KC,2006,7,LAC,3,0,0,0,0,0,0,3,3,3,2,0,3,0,3,0,0,0,0,3,0,2,0,27
2006_07_GB_MIA,2006,7,MIA,2,0,0,0,0,1,0,1,1,4,3,0,2,0,2,1,1,0,1,1,0,3,0,24
